Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 70.0.3538.77,,2018-11-07 13:52:39,2018-11-07 13:55:19,2m - 39.764s,FAILED
,,,,,,
Test Cases/MPDX-login,Chrome 70.0.3538.77,,2018-11-07 13:52:40,2018-11-07 13:53:03,23.512s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-07 13:52:40,2018-11-07 13:52:44,3.818s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-07 13:52:44,2018-11-07 13:52:44,0.004s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.77,,2018-11-07 13:52:44,2018-11-07 13:52:46,2.407s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 13:52:46,2018-11-07 13:52:50,3.120s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 13:52:50,2018-11-07 13:52:54,4.181s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-07 13:52:54,2018-11-07 13:52:57,3.147s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 13:52:57,2018-11-07 13:53:01,4.225s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 70.0.3538.77,,2018-11-07 13:53:03,2018-11-07 13:53:54,51.034s,FAILED
openBrowser,Chrome 70.0.3538.77,,2018-11-07 13:53:03,2018-11-07 13:53:08,4.237s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-07 13:53:08,2018-11-07 13:53:10,2.483s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 13:53:10,2018-11-07 13:53:52,42.014s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 70.0.3538.77,,2018-11-07 13:53:54,2018-11-07 13:55:18,1m - 23.801s,FAILED
click,Chrome 70.0.3538.77,,2018-11-07 13:53:54,2018-11-07 13:53:54,0.002s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-07 13:53:54,2018-11-07 13:55:16,1m - 21.531s,FAILED
