Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 69.0.3497.92,,2018-09-14 15:47:51,2018-09-14 15:48:27,35.474s,PASSED
,,,,,,
Test Cases/MPDX-login,Chrome 69.0.3497.92,,2018-09-14 15:47:52,2018-09-14 15:48:14,22.112s,PASSED
openBrowser,Chrome 69.0.3497.92,,2018-09-14 15:47:52,2018-09-14 15:47:56,3.710s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-14 15:47:56,2018-09-14 15:47:58,2.433s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 15:47:58,2018-09-14 15:48:00,2.116s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 15:48:00,2018-09-14 15:48:05,4.192s,PASSED
setEncryptedText,Chrome 69.0.3497.92,,2018-09-14 15:48:05,2018-09-14 15:48:08,3.203s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 15:48:08,2018-09-14 15:48:12,3.887s,PASSED
,,,,,,
Test Cases/MPDX-logout,Chrome 69.0.3497.92,,2018-09-14 15:48:14,2018-09-14 15:48:27,13.084s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 15:48:14,2018-09-14 15:48:14,0.014s,NOT_RUN
click,Chrome 69.0.3497.92,,2018-09-14 15:48:14,2018-09-14 15:48:16,2.203s,PASSED
waitForElementVisible,Chrome 69.0.3497.92,,2018-09-14 15:48:16,2018-09-14 15:48:18,2.091s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 15:48:18,2018-09-14 15:48:21,3.186s,PASSED
waitForElementVisible,Chrome 69.0.3497.92,,2018-09-14 15:48:21,2018-09-14 15:48:23,2.086s,PASSED
closeBrowser,Chrome 69.0.3497.92,,2018-09-14 15:48:23,2018-09-14 15:48:25,1.249s,PASSED
