Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 70.0.3538.77,,2018-11-02 13:56:06,2018-11-02 13:57:17,1m - 11.020s,FAILED
,,,,,,
Test Cases/MPDX-login,Chrome 70.0.3538.77,,2018-11-02 13:56:06,2018-11-02 13:56:40,34.011s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-02 13:56:07,2018-11-02 13:56:12,4.718s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-02 13:56:12,2018-11-02 13:56:14,2.710s,PASSED
click,Chrome 70.0.3538.77,,2018-11-02 13:56:14,2018-11-02 13:56:22,7.193s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 13:56:22,2018-11-02 13:56:26,4.575s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-02 13:56:26,2018-11-02 13:56:29,3.168s,PASSED
click,Chrome 70.0.3538.77,,2018-11-02 13:56:29,2018-11-02 13:56:38,8.813s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 70.0.3538.77,,2018-11-02 13:56:40,2018-11-02 13:56:56,15.922s,FAILED
click,Chrome 70.0.3538.77,,2018-11-02 13:56:40,2018-11-02 13:56:52,11.990s,PASSED
waitForElementClickable,Chrome 70.0.3538.77,,2018-11-02 13:56:52,2018-11-02 13:56:54,1.737s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 70.0.3538.77,,2018-11-02 13:56:56,2018-11-02 13:57:16,19.671s,FAILED
click,Chrome 70.0.3538.77,,2018-11-02 13:56:56,2018-11-02 13:56:56,0.003s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-02 13:56:56,2018-11-02 13:57:03,7.277s,PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-11-02 13:57:03,2018-11-02 13:57:10,6.683s,PASSED
click,Chrome 70.0.3538.77,,2018-11-02 13:57:10,2018-11-02 13:57:14,3.534s,FAILED
