Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 68.0.3440.106,,2018-09-11 15:59:47,2018-09-11 15:59:57,9.562s,FAILED
,,,,,,
Test Cases/MPDX-login,Chrome 68.0.3440.106,,2018-09-11 15:59:48,2018-09-11 15:59:53,5.638s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-11 15:59:48,2018-09-11 15:59:50,1.893s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-11 15:59:50,2018-09-11 15:59:51,1.210s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:59:51,2018-09-11 15:59:52,0.702s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 15:59:52,2018-09-11 15:59:52,0.169s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-11 15:59:52,2018-09-11 15:59:52,0.153s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:59:52,2018-09-11 15:59:53,1.248s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 68.0.3440.106,,2018-09-11 15:59:53,2018-09-11 15:59:56,2.414s,FAILED
click,Chrome 68.0.3440.106,,2018-09-11 15:59:53,2018-09-11 15:59:55,1.712s,PASSED
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-11 15:59:55,2018-09-11 15:59:55,0.067s,PASSED
click,Chrome 68.0.3440.106,Show contacts whose first commitment gifts were not received,2018-09-11 15:59:55,2018-09-11 15:59:56,0.521s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 68.0.3440.106,,2018-09-11 15:59:56,2018-09-11 15:59:57,1.223s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:59:56,2018-09-11 15:59:56,0.064s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:59:56,2018-09-11 15:59:56,0.077s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-11 15:59:56,2018-09-11 15:59:56,0.129s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:59:56,2018-09-11 15:59:57,0.662s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-11 15:59:57,2018-09-11 15:59:57,0.027s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-11 15:59:57,2018-09-11 15:59:57,0.163s,PASSED
