Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 69.0.3497.92,,2018-09-14 11:41:53,2018-09-14 11:42:31,37.835s,PASSED
,,,,,,
Test Cases/MPDX-login,Chrome 69.0.3497.92,,2018-09-14 11:41:53,2018-09-14 11:42:16,23.209s,PASSED
openBrowser,Chrome 69.0.3497.92,,2018-09-14 11:41:54,2018-09-14 11:41:57,3.573s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-14 11:41:57,2018-09-14 11:42:01,4.097s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 11:42:01,2018-09-14 11:42:03,2.119s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 11:42:03,2018-09-14 11:42:08,4.182s,PASSED
setEncryptedText,Chrome 69.0.3497.92,,2018-09-14 11:42:08,2018-09-14 11:42:11,3.145s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 11:42:11,2018-09-14 11:42:14,3.419s,PASSED
,,,,,,
Test Cases/MPDX-logout,Chrome 69.0.3497.92,,2018-09-14 11:42:16,2018-09-14 11:42:31,14.362s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 11:42:16,2018-09-14 11:42:18,2.141s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 11:42:18,2018-09-14 11:42:21,2.096s,PASSED
waitForElementVisible,Chrome 69.0.3497.92,,2018-09-14 11:42:21,2018-09-14 11:42:23,2.056s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 11:42:23,2018-09-14 11:42:25,2.748s,PASSED
waitForElementVisible,Chrome 69.0.3497.92,,2018-09-14 11:42:25,2018-09-14 11:42:27,2.043s,PASSED
closeBrowser,Chrome 69.0.3497.92,,2018-09-14 11:42:27,2018-09-14 11:42:28,1.118s,PASSED
