Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 70.0.3538.102,,2018-11-13 18:34:55,2018-11-13 18:35:44,49.492s,FAILED
,,,,,,
Test Cases/MPDX-login-localhost,Chrome 70.0.3538.102,,2018-11-13 18:34:55,2018-11-13 18:35:35,39.361s,FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-13 18:34:56,2018-11-13 18:35:02,5.685s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-13 18:35:02,2018-11-13 18:35:03,1.278s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:35:03,2018-11-13 18:35:33,29.447s,FAILED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 70.0.3538.102,,2018-11-13 18:35:35,2018-11-13 18:35:39,4.377s,FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-13 18:35:35,2018-11-13 18:35:35,0.003s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.102,,2018-11-13 18:35:35,2018-11-13 18:35:35,0.007s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 18:35:35,2018-11-13 18:35:37,2.043s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 70.0.3538.102,,2018-11-13 18:35:39,2018-11-13 18:35:43,4.195s,FAILED
click,Chrome 70.0.3538.102,,2018-11-13 18:35:39,2018-11-13 18:35:39,0.002s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 18:35:39,2018-11-13 18:35:41,2.027s,FAILED
