Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 68.0.3440.106,,2018-09-10 14:22:49,2018-09-10 14:22:57,8.332s,PASSED
,,,,,,
Test Cases/MPDX-login,Chrome 68.0.3440.106,,2018-09-10 14:22:49,2018-09-10 14:22:55,5.424s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-10 14:22:49,2018-09-10 14:22:51,1.465s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-10 14:22:51,2018-09-10 14:22:52,1.347s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:22:52,2018-09-10 14:22:53,1.132s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 14:22:53,2018-09-10 14:22:53,0.140s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-10 14:22:53,2018-09-10 14:22:54,0.133s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:22:54,2018-09-10 14:22:55,0.997s,PASSED
,,,,,,
Test Cases/MPDX-logout,Chrome 68.0.3440.106,,2018-09-10 14:22:55,2018-09-10 14:22:57,2.485s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:22:55,2018-09-10 14:22:56,1.736s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:22:56,2018-09-10 14:22:56,0.096s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:22:56,2018-09-10 14:22:57,0.569s,PASSED
