Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 68.0.3440.106,,2018-09-11 15:48:56,2018-09-11 15:49:06,10.261s,FAILED
,,,,,,
Test Cases/MPDX-login,Chrome 68.0.3440.106,,2018-09-11 15:48:56,2018-09-11 15:49:03,6.249s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-11 15:48:57,2018-09-11 15:48:59,2.096s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-11 15:48:59,2018-09-11 15:49:00,1.123s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:49:00,2018-09-11 15:49:01,0.832s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 15:49:01,2018-09-11 15:49:01,0.184s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-11 15:49:01,2018-09-11 15:49:01,0.157s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:49:01,2018-09-11 15:49:03,1.598s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 68.0.3440.106,,2018-09-11 15:49:03,2018-09-11 15:49:05,2.362s,FAILED
click,Chrome 68.0.3440.106,,2018-09-11 15:49:03,2018-09-11 15:49:05,1.737s,PASSED
click,Chrome 68.0.3440.106,Show contacts whose first commitment gifts were not received,2018-09-11 15:49:05,2018-09-11 15:49:05,0.496s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 68.0.3440.106,,2018-09-11 15:49:05,2018-09-11 15:49:06,1.350s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:49:05,2018-09-11 15:49:05,0.051s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:49:05,2018-09-11 15:49:05,0.079s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-11 15:49:05,2018-09-11 15:49:05,0.043s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:49:05,2018-09-11 15:49:06,0.955s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-11 15:49:06,2018-09-11 15:49:06,0.027s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-11 15:49:06,2018-09-11 15:49:06,0.100s,PASSED
