Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 69.0.3497.92,,2018-09-14 15:46:58,2018-09-14 15:47:41,43.436s,PASSED
,,,,,,
Test Cases/MPDX-login,Chrome 69.0.3497.92,,2018-09-14 15:46:59,2018-09-14 15:47:29,30.518s,PASSED
openBrowser,Chrome 69.0.3497.92,,2018-09-14 15:47:00,2018-09-14 15:47:09,9.075s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-14 15:47:09,2018-09-14 15:47:13,3.954s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 15:47:13,2018-09-14 15:47:15,2.245s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 15:47:15,2018-09-14 15:47:20,4.438s,PASSED
setEncryptedText,Chrome 69.0.3497.92,,2018-09-14 15:47:20,2018-09-14 15:47:23,3.283s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 15:47:23,2018-09-14 15:47:27,3.763s,PASSED
,,,,,,
Test Cases/MPDX-logout,Chrome 69.0.3497.92,,2018-09-14 15:47:29,2018-09-14 15:47:41,12.317s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 15:47:29,2018-09-14 15:47:29,0.003s,NOT_RUN
click,Chrome 69.0.3497.92,,2018-09-14 15:47:29,2018-09-14 15:47:31,2.135s,PASSED
waitForElementVisible,Chrome 69.0.3497.92,,2018-09-14 15:47:31,2018-09-14 15:47:33,2.078s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 15:47:33,2018-09-14 15:47:36,2.753s,PASSED
waitForElementVisible,Chrome 69.0.3497.92,,2018-09-14 15:47:36,2018-09-14 15:47:38,2.042s,PASSED
closeBrowser,Chrome 69.0.3497.92,,2018-09-14 15:47:38,2018-09-14 15:47:39,1.154s,PASSED
