Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 69.0.3497.100,,2018-10-18 11:04:44,2018-10-18 11:05:25,40.352s,FAILED
,,,,,,
Test Cases/MPDX-login,Chrome 69.0.3497.100,,2018-10-18 11:04:45,2018-10-18 11:05:07,22.070s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-18 11:04:45,2018-10-18 11:04:49,3.961s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-18 11:04:49,2018-10-18 11:04:52,2.389s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 11:04:52,2018-10-18 11:04:54,2.117s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-18 11:04:54,2018-10-18 11:04:58,4.186s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-18 11:04:58,2018-10-18 11:05:01,3.143s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 11:05:01,2018-10-18 11:05:05,3.487s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 69.0.3497.100,,2018-10-18 11:05:07,2018-10-18 11:05:12,5.754s,FAILED
click,Chrome 69.0.3497.100,,2018-10-18 11:05:07,2018-10-18 11:05:09,2.098s,PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-18 11:05:09,2018-10-18 11:05:10,1.411s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 69.0.3497.100,,2018-10-18 11:05:12,2018-10-18 11:05:25,12.243s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 11:05:13,2018-10-18 11:05:13,0.003s,NOT_RUN
click,Chrome 69.0.3497.100,,2018-10-18 11:05:13,2018-10-18 11:05:15,2.097s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-18 11:05:15,2018-10-18 11:05:17,2.054s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 11:05:17,2018-10-18 11:05:19,2.718s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-18 11:05:19,2018-10-18 11:05:21,2.046s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-18 11:05:21,2018-10-18 11:05:23,1.160s,PASSED
