Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 70.0.3538.110,,2018-12-11 16:36:25,2018-12-11 16:36:55,29.549s,FAILED
,,,,,,
Test Cases/MPDX-login-localhost,Chrome 70.0.3538.110,,2018-12-11 16:36:26,2018-12-11 16:36:45,19.530s,FAILED
openBrowser,Chrome 70.0.3538.110,,2018-12-11 16:36:27,2018-12-11 16:36:32,5.349s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-11 16:36:32,2018-12-11 16:36:33,1.454s,PASSED
click,Chrome 70.0.3538.110,,2018-12-11 16:36:33,2018-12-11 16:36:43,9.745s,FAILED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 70.0.3538.110,,2018-12-11 16:36:45,2018-12-11 16:36:49,4.273s,FAILED
openBrowser,Chrome 70.0.3538.110,,2018-12-11 16:36:45,2018-12-11 16:36:45,0.004s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-11 16:36:45,2018-12-11 16:36:45,0.004s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-11 16:36:45,2018-12-11 16:36:47,2.053s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 70.0.3538.110,,2018-12-11 16:36:49,2018-12-11 16:36:54,4.256s,FAILED
click,Chrome 70.0.3538.110,,2018-12-11 16:36:49,2018-12-11 16:36:50,0.007s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-11 16:36:50,2018-12-11 16:36:52,2.045s,FAILED
