Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 70.0.3538.77,,2018-11-09 18:55:34,2018-11-09 18:58:53,3m - 18.596s,FAILED
,,,,,,
Test Cases/MPDX-login,Chrome 70.0.3538.77,,2018-11-09 18:55:34,2018-11-09 18:56:03,28.388s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-09 18:55:35,2018-11-09 18:55:41,5.563s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-09 18:55:41,2018-11-09 18:55:41,0.003s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.77,,2018-11-09 18:55:41,2018-11-09 18:55:44,3.270s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 18:55:44,2018-11-09 18:55:51,6.365s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 18:55:51,2018-11-09 18:55:55,4.176s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-09 18:55:55,2018-11-09 18:55:58,3.177s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 18:55:58,2018-11-09 18:56:01,2.716s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 70.0.3538.77,,2018-11-09 18:56:03,2018-11-09 18:56:46,43.295s,FAILED
openBrowser,Chrome 70.0.3538.77,,2018-11-09 18:56:03,2018-11-09 18:56:03,0.016s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.77,,2018-11-09 18:56:03,2018-11-09 18:56:03,0.001s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-09 18:56:03,2018-11-09 18:56:44,40.973s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 70.0.3538.77,,2018-11-09 18:56:46,2018-11-09 18:58:51,2m - 5.291s,FAILED
click,Chrome 70.0.3538.77,,2018-11-09 18:56:46,2018-11-09 18:56:46,0.001s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-09 18:56:46,2018-11-09 18:58:49,2m - 2.952s,FAILED
