Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 70.0.3538.77,,2018-11-07 13:48:48,2018-11-07 13:49:42,53.628s,FAILED
,,,,,,
Test Cases/MPDX-login,Chrome 70.0.3538.77,,2018-11-07 13:48:49,2018-11-07 13:48:57,7.914s,FAILED
openBrowser,Chrome 70.0.3538.77,,2018-11-07 13:48:49,2018-11-07 13:48:53,4.069s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-07 13:48:53,2018-11-07 13:48:53,0.003s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.77,,2018-11-07 13:48:53,2018-11-07 13:48:54,1.255s,FAILED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 70.0.3538.77,,2018-11-07 13:48:57,2018-11-07 13:49:37,40.134s,FAILED
openBrowser,Chrome 70.0.3538.77,,2018-11-07 13:48:57,2018-11-07 13:49:01,4.167s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-07 13:49:01,2018-11-07 13:49:04,2.713s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 13:49:04,2018-11-07 13:49:35,30.958s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 70.0.3538.77,,2018-11-07 13:49:37,2018-11-07 13:49:41,4.192s,FAILED
click,Chrome 70.0.3538.77,,2018-11-07 13:49:37,2018-11-07 13:49:37,0.010s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-07 13:49:37,2018-11-07 13:49:39,2.041s,FAILED
