Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 68.0.3440.106,,2018-09-11 15:16:12,2018-09-11 15:16:53,41.711s,FAILED
,,,,,,
Test Cases/MPDX-login,Chrome 68.0.3440.106,,2018-09-11 15:16:12,2018-09-11 15:16:18,6.005s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-11 15:16:12,2018-09-11 15:16:14,2.199s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-11 15:16:14,2018-09-11 15:16:16,1.333s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:16:16,2018-09-11 15:16:16,0.661s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 15:16:16,2018-09-11 15:16:16,0.151s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-11 15:16:16,2018-09-11 15:16:17,0.139s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:16:17,2018-09-11 15:16:18,1.297s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 68.0.3440.106,,2018-09-11 15:16:18,2018-09-11 15:16:52,33.953s,FAILED
click,Chrome 68.0.3440.106,,2018-09-11 15:16:18,2018-09-11 15:16:20,2.156s,PASSED
click,Chrome 68.0.3440.106,Show contacts whose first commitment gifts were not received,2018-09-11 15:16:20,2018-09-11 15:16:52,31.662s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 68.0.3440.106,,2018-09-11 15:16:52,2018-09-11 15:16:53,1.442s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:16:52,2018-09-11 15:16:52,0.051s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:16:52,2018-09-11 15:16:52,0.094s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-11 15:16:52,2018-09-11 15:16:52,0.056s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:16:52,2018-09-11 15:16:53,0.921s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-11 15:16:53,2018-09-11 15:16:53,0.035s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-11 15:16:53,2018-09-11 15:16:53,0.213s,PASSED
