Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 68.0.3440.106,,2018-09-10 14:22:18,2018-09-10 14:22:28,9.504s,PASSED
,,,,,,
Test Cases/MPDX-login,Chrome 68.0.3440.106,,2018-09-10 14:22:19,2018-09-10 14:22:25,5.889s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-10 14:22:19,2018-09-10 14:22:21,1.975s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-10 14:22:21,2018-09-10 14:22:22,1.331s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:22:22,2018-09-10 14:22:23,0.994s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 14:22:23,2018-09-10 14:22:23,0.187s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-10 14:22:23,2018-09-10 14:22:24,0.161s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:22:24,2018-09-10 14:22:25,1.027s,PASSED
,,,,,,
Test Cases/MPDX-logout,Chrome 68.0.3440.106,,2018-09-10 14:22:25,2018-09-10 14:22:27,2.749s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:22:25,2018-09-10 14:22:27,1.817s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:22:27,2018-09-10 14:22:27,0.111s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:22:27,2018-09-10 14:22:27,0.725s,PASSED
