Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 70.0.3538.102,,2018-11-13 19:29:22,2018-11-13 19:31:06,1m - 43.497s,FAILED
,,,,,,
Test Cases/MPDX-login-localhost,Chrome 70.0.3538.102,,2018-11-13 19:29:23,2018-11-13 19:30:14,51.258s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-13 19:29:24,2018-11-13 19:29:35,10.557s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-13 19:29:35,2018-11-13 19:29:46,11.272s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:29:46,2018-11-13 19:29:52,5.907s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-13 19:29:52,2018-11-13 19:29:57,4.526s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-13 19:29:57,2018-11-13 19:30:00,3.447s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:30:00,2018-11-13 19:30:03,3.116s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:30:03,2018-11-13 19:30:12,8.934s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 70.0.3538.102,,2018-11-13 19:30:14,2018-11-13 19:30:50,35.845s,FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-13 19:30:15,2018-11-13 19:30:15,0.030s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.102,,2018-11-13 19:30:15,2018-11-13 19:30:15,0.003s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 19:30:15,2018-11-13 19:30:19,4.025s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:30:19,2018-11-13 19:30:21,2.230s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:30:21,2018-11-13 19:30:26,4.742s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:30:26,2018-11-13 19:30:31,4.587s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:30:31,2018-11-13 19:30:33,2.323s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:30:33,2018-11-13 19:30:35,2.204s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:30:35,2018-11-13 19:30:37,2.255s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:30:37,2018-11-13 19:30:40,2.378s,PASSED
switchToWindowTitle,Chrome 70.0.3538.102,,2018-11-13 19:30:40,2018-11-13 19:30:40,0.004s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 19:30:40,2018-11-13 19:30:40,0.003s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 19:30:40,2018-11-13 19:30:40,0.006s,NOT_RUN
switchToWindowTitle,Chrome 70.0.3538.102,,2018-11-13 19:30:40,2018-11-13 19:30:40,0.016s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 19:30:40,2018-11-13 19:30:42,2.175s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:30:42,2018-11-13 19:30:44,2.119s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:30:44,2018-11-13 19:30:48,3.780s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 70.0.3538.102,,2018-11-13 19:30:50,2018-11-13 19:31:06,15.562s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:30:50,2018-11-13 19:30:51,0.009s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 19:30:51,2018-11-13 19:30:53,2.306s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-13 19:30:53,2018-11-13 19:30:55,2.504s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:30:55,2018-11-13 19:30:58,2.207s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-13 19:30:58,2018-11-13 19:31:02,4.637s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-13 19:31:02,2018-11-13 19:31:04,1.423s,PASSED
