Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 69.0.3497.100,,2018-10-18 10:37:26,2018-10-18 10:38:46,1m - 20.336s,FAILED
,,,,,,
Test Cases/MPDX-login,Chrome 69.0.3497.100,,2018-10-18 10:37:26,2018-10-18 10:37:55,28.617s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-18 10:37:28,2018-10-18 10:37:32,4.880s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-18 10:37:32,2018-10-18 10:37:36,3.162s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 10:37:36,2018-10-18 10:37:38,2.138s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-18 10:37:38,2018-10-18 10:37:46,8.471s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-18 10:37:46,2018-10-18 10:37:49,3.181s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 10:37:49,2018-10-18 10:37:53,3.337s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 69.0.3497.100,,2018-10-18 10:37:55,2018-10-18 10:38:34,38.698s,FAILED
click,Chrome 69.0.3497.100,,2018-10-18 10:37:55,2018-10-18 10:37:59,3.624s,PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-18 10:37:59,2018-10-18 10:38:31,32.777s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 69.0.3497.100,,2018-10-18 10:38:34,2018-10-18 10:38:46,12.520s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 10:38:34,2018-10-18 10:38:34,0.002s,NOT_RUN
click,Chrome 69.0.3497.100,,2018-10-18 10:38:34,2018-10-18 10:38:36,2.105s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-18 10:38:36,2018-10-18 10:38:38,2.058s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 10:38:38,2018-10-18 10:38:41,2.939s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-18 10:38:41,2018-10-18 10:38:43,2.040s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-18 10:38:43,2018-10-18 10:38:44,1.160s,PASSED
