Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 69.0.3497.92,,2018-09-14 11:38:23,2018-09-14 11:39:23,1m - 0.675s,PASSED
,,,,,,
Test Cases/MPDX-login,Chrome 69.0.3497.92,,2018-09-14 11:38:23,2018-09-14 11:38:58,34.982s,PASSED
openBrowser,Chrome 69.0.3497.92,,2018-09-14 11:38:23,2018-09-14 11:38:29,5.347s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-14 11:38:29,2018-09-14 11:38:32,3.305s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 11:38:32,2018-09-14 11:38:36,4.139s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 11:38:36,2018-09-14 11:38:44,8.179s,PASSED
setEncryptedText,Chrome 69.0.3497.92,,2018-09-14 11:38:44,2018-09-14 11:38:51,6.148s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 11:38:51,2018-09-14 11:38:56,5.275s,PASSED
,,,,,,
Test Cases/MPDX-logout,Chrome 69.0.3497.92,,2018-09-14 11:38:58,2018-09-14 11:39:23,25.451s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 11:38:58,2018-09-14 11:39:02,4.105s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 11:39:02,2018-09-14 11:39:06,4.101s,PASSED
waitForElementVisible,Chrome 69.0.3497.92,,2018-09-14 11:39:06,2018-09-14 11:39:10,4.051s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 11:39:10,2018-09-14 11:39:15,4.800s,PASSED
waitForElementVisible,Chrome 69.0.3497.92,,2018-09-14 11:39:15,2018-09-14 11:39:19,4.041s,PASSED
closeBrowser,Chrome 69.0.3497.92,,2018-09-14 11:39:19,2018-09-14 11:39:21,2.163s,PASSED
