Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 68.0.3440.106,,2018-09-11 16:08:07,2018-09-11 16:08:48,40.523s,FAILED
,,,,,,
Test Cases/MPDX-login,Chrome 68.0.3440.106,,2018-09-11 16:08:08,2018-09-11 16:08:13,5.625s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-11 16:08:08,2018-09-11 16:08:10,1.991s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-11 16:08:10,2018-09-11 16:08:11,1.082s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:08:11,2018-09-11 16:08:12,1.010s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 16:08:12,2018-09-11 16:08:12,0.160s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-11 16:08:12,2018-09-11 16:08:12,0.149s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:08:12,2018-09-11 16:08:13,1.038s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 68.0.3440.106,,2018-09-11 16:08:13,2018-09-11 16:08:47,33.321s,FAILED
click,Chrome 68.0.3440.106,,2018-09-11 16:08:13,2018-09-11 16:08:15,1.828s,PASSED
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-11 16:08:15,2018-09-11 16:08:47,31.378s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 68.0.3440.106,,2018-09-11 16:08:47,2018-09-11 16:08:48,1.288s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:08:47,2018-09-11 16:08:47,0.057s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:08:47,2018-09-11 16:08:47,0.105s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-11 16:08:47,2018-09-11 16:08:47,0.054s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:08:47,2018-09-11 16:08:48,0.823s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-11 16:08:48,2018-09-11 16:08:48,0.048s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-11 16:08:48,2018-09-11 16:08:48,0.110s,PASSED
