Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 68.0.3440.106,,2018-09-10 14:43:58,2018-09-10 14:44:06,8.307s,FAILED
,,,,,,
Test Cases/MPDX-login,Chrome 68.0.3440.106,,2018-09-10 14:43:58,2018-09-10 14:44:03,4.813s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-10 14:43:59,2018-09-10 14:44:00,1.443s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-10 14:44:00,2018-09-10 14:44:01,1.223s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:44:01,2018-09-10 14:44:02,0.795s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 14:44:02,2018-09-10 14:44:02,0.147s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-10 14:44:02,2018-09-10 14:44:02,0.125s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:44:02,2018-09-10 14:44:03,0.869s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 68.0.3440.106,,2018-09-10 14:44:03,2018-09-10 14:44:05,2.279s,FAILED
click,Chrome 68.0.3440.106,,2018-09-10 14:44:03,2018-09-10 14:44:05,1.761s,PASSED
click,Chrome 68.0.3440.106,Connect - Add a new task button,2018-09-10 14:44:05,2018-09-10 14:44:05,0.411s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 68.0.3440.106,,2018-09-10 14:44:06,2018-09-10 14:44:06,0.861s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:44:06,2018-09-10 14:44:06,0.059s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:44:06,2018-09-10 14:44:06,0.079s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:44:06,2018-09-10 14:44:06,0.633s,PASSED
