Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 70.0.3538.102,,2018-11-13 18:42:13,2018-11-13 18:44:17,2m - 4.066s,FAILED
,,,,,,
Test Cases/MPDX-login-localhost,Chrome 70.0.3538.102,,2018-11-13 18:42:14,2018-11-13 18:43:02,48.009s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-13 18:42:17,2018-11-13 18:42:28,10.819s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-13 18:42:28,2018-11-13 18:42:38,10.691s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:42:38,2018-11-13 18:42:43,5.002s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-13 18:42:43,2018-11-13 18:42:48,4.257s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-13 18:42:48,2018-11-13 18:42:51,3.322s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:42:51,2018-11-13 18:42:54,2.966s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:42:54,2018-11-13 18:43:00,6.131s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 70.0.3538.102,,2018-11-13 18:43:02,2018-11-13 18:44:03,1m - 0.647s,FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-13 18:43:03,2018-11-13 18:43:03,0.010s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.102,,2018-11-13 18:43:03,2018-11-13 18:43:03,0.014s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 18:43:03,2018-11-13 18:43:07,3.765s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:43:07,2018-11-13 18:43:09,2.114s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:43:09,2018-11-13 18:43:11,2.142s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:43:11,2018-11-13 18:43:13,2.110s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:43:13,2018-11-13 18:43:15,2.095s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:43:15,2018-11-13 18:43:17,2.114s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:43:17,2018-11-13 18:43:19,2.128s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:43:19,2018-11-13 18:44:01,41.411s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 70.0.3538.102,,2018-11-13 18:44:03,2018-11-13 18:44:17,13.932s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:44:03,2018-11-13 18:44:03,0.002s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 18:44:03,2018-11-13 18:44:05,2.137s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-13 18:44:05,2018-11-13 18:44:07,2.126s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:44:07,2018-11-13 18:44:11,3.926s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-13 18:44:11,2018-11-13 18:44:13,2.089s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-13 18:44:13,2018-11-13 18:44:15,1.344s,PASSED
