Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 68.0.3440.106,,2018-09-11 15:56:38,2018-09-11 15:56:48,9.896s,FAILED
,,,,,,
Test Cases/MPDX-login,Chrome 68.0.3440.106,,2018-09-11 15:56:39,2018-09-11 15:56:44,5.868s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-11 15:56:39,2018-09-11 15:56:41,1.830s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-11 15:56:41,2018-09-11 15:56:42,1.266s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:56:42,2018-09-11 15:56:43,0.953s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 15:56:43,2018-09-11 15:56:43,0.158s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-11 15:56:43,2018-09-11 15:56:43,0.133s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:56:43,2018-09-11 15:56:44,1.311s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 68.0.3440.106,,2018-09-11 15:56:44,2018-09-11 15:56:47,2.494s,FAILED
click,Chrome 68.0.3440.106,,2018-09-11 15:56:45,2018-09-11 15:56:46,1.828s,PASSED
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-11 15:56:46,2018-09-11 15:56:46,0.059s,PASSED
click,Chrome 68.0.3440.106,Show contacts whose first commitment gifts were not received,2018-09-11 15:56:46,2018-09-11 15:56:47,0.485s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 68.0.3440.106,,2018-09-11 15:56:47,2018-09-11 15:56:48,1.267s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:56:47,2018-09-11 15:56:47,0.046s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:56:47,2018-09-11 15:56:47,0.229s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-11 15:56:47,2018-09-11 15:56:47,0.049s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:56:47,2018-09-11 15:56:48,0.667s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-11 15:56:48,2018-09-11 15:56:48,0.036s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-11 15:56:48,2018-09-11 15:56:48,0.144s,PASSED
