Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 68.0.3440.106,,2018-09-11 15:12:47,2018-09-11 15:12:56,9.329s,FAILED
,,,,,,
Test Cases/MPDX-login,Chrome 68.0.3440.106,,2018-09-11 15:12:47,2018-09-11 15:12:53,5.567s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-11 15:12:48,2018-09-11 15:12:49,1.602s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-11 15:12:49,2018-09-11 15:12:51,1.405s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:12:51,2018-09-11 15:12:51,0.852s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 15:12:51,2018-09-11 15:12:52,0.157s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-11 15:12:52,2018-09-11 15:12:52,0.146s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:12:52,2018-09-11 15:12:53,1.210s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 68.0.3440.106,,2018-09-11 15:12:53,2018-09-11 15:12:55,2.415s,FAILED
click,Chrome 68.0.3440.106,,2018-09-11 15:12:53,2018-09-11 15:12:55,1.706s,PASSED
click,Chrome 68.0.3440.106,Show contacts whose first commitment gifts were not received,2018-09-11 15:12:55,2018-09-11 15:12:55,0.587s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 68.0.3440.106,,2018-09-11 15:12:55,2018-09-11 15:12:56,1.080s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:12:55,2018-09-11 15:12:55,0.044s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:12:55,2018-09-11 15:12:56,0.080s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-11 15:12:56,2018-09-11 15:12:56,0.046s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:12:56,2018-09-11 15:12:56,0.602s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-11 15:12:56,2018-09-11 15:12:56,0.048s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-11 15:12:56,2018-09-11 15:12:56,0.156s,PASSED
