Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 68.0.3440.106,,2018-09-11 15:11:29,2018-09-11 15:11:38,8.854s,PASSED
,,,,,,
Test Cases/MPDX-login,Chrome 68.0.3440.106,,2018-09-11 15:11:29,2018-09-11 15:11:35,5.716s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-11 15:11:29,2018-09-11 15:11:31,2.021s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-11 15:11:31,2018-09-11 15:11:33,1.246s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:11:33,2018-09-11 15:11:33,0.775s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 15:11:33,2018-09-11 15:11:34,0.154s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-11 15:11:34,2018-09-11 15:11:34,0.146s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:11:34,2018-09-11 15:11:35,1.133s,PASSED
,,,,,,
Test Cases/MPDX-logout,Chrome 68.0.3440.106,,2018-09-11 15:11:35,2018-09-11 15:11:38,2.847s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:11:35,2018-09-11 15:11:37,1.727s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:11:37,2018-09-11 15:11:37,0.110s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-11 15:11:37,2018-09-11 15:11:37,0.055s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:11:37,2018-09-11 15:11:38,0.734s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-11 15:11:38,2018-09-11 15:11:38,0.027s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-11 15:11:38,2018-09-11 15:11:38,0.098s,PASSED
