Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 70.0.3538.77,,2018-11-09 19:53:25,2018-11-09 19:54:49,1m - 23.934s,FAILED
,,,,,,
Test Cases/MPDX-login-localhost,Chrome 70.0.3538.77,,2018-11-09 19:53:25,2018-11-09 19:53:53,27.343s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-09 19:53:26,2018-11-09 19:53:30,4.120s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-09 19:53:30,2018-11-09 19:53:33,2.837s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 19:53:33,2018-11-09 19:53:37,3.809s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 19:53:37,2018-11-09 19:53:41,4.165s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-09 19:53:41,2018-11-09 19:53:44,3.156s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 19:53:44,2018-11-09 19:53:46,2.522s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 19:53:46,2018-11-09 19:53:51,4.083s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 70.0.3538.77,,2018-11-09 19:53:53,2018-11-09 19:54:36,43.345s,FAILED
openBrowser,Chrome 70.0.3538.77,,2018-11-09 19:53:53,2018-11-09 19:53:53,0.004s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.77,,2018-11-09 19:53:53,2018-11-09 19:53:53,0.001s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-09 19:53:53,2018-11-09 19:54:34,41.019s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 70.0.3538.77,,2018-11-09 19:54:36,2018-11-09 19:54:49,12.973s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 19:54:36,2018-11-09 19:54:36,0.003s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-09 19:54:36,2018-11-09 19:54:38,2.112s,PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-11-09 19:54:38,2018-11-09 19:54:40,2.051s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 19:54:40,2018-11-09 19:54:44,3.375s,PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-11-09 19:54:44,2018-11-09 19:54:46,2.050s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-09 19:54:46,2018-11-09 19:54:47,1.222s,PASSED
