Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 70.0.3538.102,,2018-11-13 18:57:59,2018-11-13 18:59:40,1m - 40.881s,FAILED
,,,,,,
Test Cases/MPDX-login-localhost,Chrome 70.0.3538.102,,2018-11-13 18:58:00,2018-11-13 18:58:29,29.266s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-13 18:58:00,2018-11-13 18:58:05,4.577s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-13 18:58:05,2018-11-13 18:58:08,3.216s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:58:08,2018-11-13 18:58:12,4.048s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-13 18:58:12,2018-11-13 18:58:16,4.194s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-13 18:58:16,2018-11-13 18:58:19,3.168s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:58:19,2018-11-13 18:58:22,2.599s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:58:22,2018-11-13 18:58:27,4.704s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 70.0.3538.102,,2018-11-13 18:58:29,2018-11-13 18:59:27,58.184s,FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-13 18:58:29,2018-11-13 18:58:29,0.022s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.102,,2018-11-13 18:58:29,2018-11-13 18:58:29,0.006s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 18:58:29,2018-11-13 18:58:31,2.168s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:58:31,2018-11-13 18:58:33,2.080s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:58:33,2018-11-13 18:58:35,2.087s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:58:35,2018-11-13 18:58:38,2.202s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:58:38,2018-11-13 18:58:40,2.092s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:58:40,2018-11-13 18:58:42,2.083s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:58:42,2018-11-13 18:58:44,2.088s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:58:44,2018-11-13 18:59:25,40.954s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 70.0.3538.102,,2018-11-13 18:59:27,2018-11-13 18:59:40,13.117s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:59:27,2018-11-13 18:59:27,0.002s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 18:59:27,2018-11-13 18:59:29,2.101s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-13 18:59:29,2018-11-13 18:59:31,2.048s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 18:59:31,2018-11-13 18:59:35,3.618s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-13 18:59:35,2018-11-13 18:59:37,2.047s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-13 18:59:37,2018-11-13 18:59:38,1.163s,PASSED
