Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 68.0.3440.106,,2018-09-11 16:03:14,2018-09-11 16:03:24,9.697s,FAILED
,,,,,,
Test Cases/MPDX-login,Chrome 68.0.3440.106,,2018-09-11 16:03:15,2018-09-11 16:03:20,5.520s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-11 16:03:15,2018-09-11 16:03:17,1.786s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-11 16:03:17,2018-09-11 16:03:18,1.192s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:03:18,2018-09-11 16:03:19,0.917s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 16:03:19,2018-09-11 16:03:19,0.158s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-11 16:03:19,2018-09-11 16:03:19,0.136s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:03:19,2018-09-11 16:03:20,1.130s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 68.0.3440.106,,2018-09-11 16:03:20,2018-09-11 16:03:23,2.520s,FAILED
click,Chrome 68.0.3440.106,,2018-09-11 16:03:20,2018-09-11 16:03:22,1.774s,PASSED
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-11 16:03:22,2018-09-11 16:03:22,0.086s,PASSED
click,Chrome 68.0.3440.106,Show contacts whose first commitment gifts were not received,2018-09-11 16:03:22,2018-09-11 16:03:23,0.539s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 68.0.3440.106,,2018-09-11 16:03:23,2018-09-11 16:03:24,1.348s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:03:23,2018-09-11 16:03:23,0.046s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:03:23,2018-09-11 16:03:23,0.079s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-11 16:03:23,2018-09-11 16:03:23,0.042s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:03:23,2018-09-11 16:03:24,0.795s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-11 16:03:24,2018-09-11 16:03:24,0.031s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-11 16:03:24,2018-09-11 16:03:24,0.263s,PASSED
