Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 68.0.3440.106,,2018-09-11 15:59:22,2018-09-11 15:59:33,11.613s,FAILED
,,,,,,
Test Cases/MPDX-login,Chrome 68.0.3440.106,,2018-09-11 15:59:22,2018-09-11 15:59:27,5.397s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-11 15:59:22,2018-09-11 15:59:24,1.807s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-11 15:59:24,2018-09-11 15:59:25,1.226s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:59:25,2018-09-11 15:59:26,0.707s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 15:59:26,2018-09-11 15:59:26,0.140s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-11 15:59:26,2018-09-11 15:59:26,0.131s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:59:26,2018-09-11 15:59:27,1.181s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 68.0.3440.106,,2018-09-11 15:59:27,2018-09-11 15:59:32,4.849s,FAILED
click,Chrome 68.0.3440.106,,2018-09-11 15:59:28,2018-09-11 15:59:30,2.145s,PASSED
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-11 15:59:30,2018-09-11 15:59:30,0.057s,PASSED
click,Chrome 68.0.3440.106,Show contacts whose first commitment gifts were not received,2018-09-11 15:59:30,2018-09-11 15:59:30,0.074s,PASSED
waitForAngularLoad,Chrome 68.0.3440.106,,2018-09-11 15:59:30,2018-09-11 15:59:32,1.775s,PASSED
back,Chrome 68.0.3440.106,,2018-09-11 15:59:32,2018-09-11 15:59:32,0.168s,PASSED
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-11 15:59:32,2018-09-11 15:59:32,0.052s,PASSED
click,Chrome 68.0.3440.106,Show contacts whose commitments are over 30 days late,2018-09-11 15:59:32,2018-09-11 15:59:32,0.457s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 68.0.3440.106,,2018-09-11 15:59:32,2018-09-11 15:59:33,1.108s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:59:32,2018-09-11 15:59:32,0.100s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:59:32,2018-09-11 15:59:33,0.071s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-11 15:59:33,2018-09-11 15:59:33,0.053s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 15:59:33,2018-09-11 15:59:33,0.671s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-11 15:59:33,2018-09-11 15:59:33,0.030s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-11 15:59:33,2018-09-11 15:59:33,0.098s,PASSED
