Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 69.0.3497.100,,2018-10-18 10:41:53,2018-10-18 10:42:34,41.200s,FAILED
,,,,,,
Test Cases/MPDX-login,Chrome 69.0.3497.100,,2018-10-18 10:41:53,2018-10-18 10:42:15,21.372s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-18 10:41:54,2018-10-18 10:41:58,3.719s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-18 10:41:58,2018-10-18 10:42:00,2.128s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 10:42:00,2018-10-18 10:42:02,2.124s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-18 10:42:02,2018-10-18 10:42:06,4.168s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-18 10:42:06,2018-10-18 10:42:09,3.152s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 10:42:09,2018-10-18 10:42:13,3.318s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 69.0.3497.100,,2018-10-18 10:42:15,2018-10-18 10:42:22,7.265s,FAILED
click,Chrome 69.0.3497.100,,2018-10-18 10:42:15,2018-10-18 10:42:18,3.608s,PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-18 10:42:18,2018-10-18 10:42:20,1.422s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 69.0.3497.100,,2018-10-18 10:42:22,2018-10-18 10:42:34,12.275s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 10:42:22,2018-10-18 10:42:22,0.002s,NOT_RUN
click,Chrome 69.0.3497.100,,2018-10-18 10:42:22,2018-10-18 10:42:24,2.108s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-18 10:42:24,2018-10-18 10:42:26,2.049s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 10:42:26,2018-10-18 10:42:29,2.771s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-18 10:42:29,2018-10-18 10:42:31,2.036s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-18 10:42:31,2018-10-18 10:42:32,1.155s,PASSED
