Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 70.0.3538.102,,2018-11-13 19:01:21,2018-11-13 19:03:02,1m - 40.403s,FAILED
,,,,,,
Test Cases/MPDX-login-localhost,Chrome 70.0.3538.102,,2018-11-13 19:01:22,2018-11-13 19:02:26,1m - 4.478s,FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-13 19:01:22,2018-11-13 19:01:26,4.238s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-13 19:01:26,2018-11-13 19:01:29,2.913s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:01:29,2018-11-13 19:01:33,4.115s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-13 19:01:33,2018-11-13 19:01:38,4.193s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-13 19:01:38,2018-11-13 19:01:41,3.191s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:01:41,2018-11-13 19:01:46,5.251s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:01:46,2018-11-13 19:02:24,37.813s,FAILED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 70.0.3538.102,,2018-11-13 19:02:26,2018-11-13 19:02:55,28.875s,FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-13 19:02:26,2018-11-13 19:02:26,0.004s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.102,,2018-11-13 19:02:26,2018-11-13 19:02:26,0.001s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 19:02:26,2018-11-13 19:02:28,2.081s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:02:28,2018-11-13 19:02:30,2.080s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:02:30,2018-11-13 19:02:32,2.097s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:02:32,2018-11-13 19:02:35,2.282s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:02:35,2018-11-13 19:02:37,2.068s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:02:37,2018-11-13 19:02:39,2.067s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:02:39,2018-11-13 19:02:41,2.089s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:02:41,2018-11-13 19:02:43,2.132s,PASSED
switchToWindowTitle,Chrome 70.0.3538.102,,2018-11-13 19:02:43,2018-11-13 19:02:43,0.002s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 19:02:43,2018-11-13 19:02:43,0.001s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 19:02:43,2018-11-13 19:02:43,0.003s,NOT_RUN
switchToWindowTitle,Chrome 70.0.3538.102,,2018-11-13 19:02:43,2018-11-13 19:02:43,0.001s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 19:02:43,2018-11-13 19:02:45,2.092s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:02:45,2018-11-13 19:02:47,2.066s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:02:47,2018-11-13 19:02:47,0.001s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 19:02:47,2018-11-13 19:02:47,0.001s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 19:02:47,2018-11-13 19:02:47,0.001s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 19:02:47,2018-11-13 19:02:49,2.177s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:02:49,2018-11-13 19:02:53,3.386s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 70.0.3538.102,,2018-11-13 19:02:55,2018-11-13 19:03:00,5.529s,FAILED
click,Chrome 70.0.3538.102,,2018-11-13 19:02:55,2018-11-13 19:02:55,0.002s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 19:02:55,2018-11-13 19:02:58,3.355s,FAILED
