Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 68.0.3440.106,,2018-09-10 14:43:21,2018-09-10 14:43:31,9.736s,FAILED
,,,,,,
Test Cases/MPDX-login,Chrome 68.0.3440.106,,2018-09-10 14:43:21,2018-09-10 14:43:27,5.960s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-10 14:43:21,2018-09-10 14:43:23,1.862s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-10 14:43:23,2018-09-10 14:43:24,1.197s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:43:24,2018-09-10 14:43:26,1.218s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 14:43:26,2018-09-10 14:43:26,0.143s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-10 14:43:26,2018-09-10 14:43:26,0.125s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:43:26,2018-09-10 14:43:27,1.214s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 68.0.3440.106,,2018-09-10 14:43:27,2018-09-10 14:43:30,2.427s,FAILED
click,Chrome 68.0.3440.106,,2018-09-10 14:43:27,2018-09-10 14:43:29,1.896s,PASSED
click,Chrome 68.0.3440.106,Connect - Add a new task button,2018-09-10 14:43:29,2018-09-10 14:43:30,0.427s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 68.0.3440.106,,2018-09-10 14:43:30,2018-09-10 14:43:31,0.983s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:43:30,2018-09-10 14:43:30,0.040s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:43:30,2018-09-10 14:43:30,0.079s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 14:43:30,2018-09-10 14:43:31,0.777s,PASSED
