Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 70.0.3538.77,,2018-11-09 19:39:47,2018-11-09 19:41:19,1m - 31.236s,FAILED
,,,,,,
Test Cases/MPDX-login-localhost,Chrome 70.0.3538.77,,2018-11-09 19:39:48,2018-11-09 19:40:16,28.586s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-09 19:39:48,2018-11-09 19:39:53,4.516s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-09 19:39:53,2018-11-09 19:39:56,3.400s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 19:39:56,2018-11-09 19:40:00,3.578s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 19:40:00,2018-11-09 19:40:04,4.168s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-09 19:40:04,2018-11-09 19:40:07,3.179s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 19:40:07,2018-11-09 19:40:10,2.679s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 19:40:10,2018-11-09 19:40:14,4.204s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 70.0.3538.77,,2018-11-09 19:40:16,2018-11-09 19:40:59,43.284s,FAILED
openBrowser,Chrome 70.0.3538.77,,2018-11-09 19:40:16,2018-11-09 19:40:16,0.004s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.77,,2018-11-09 19:40:16,2018-11-09 19:40:16,0.002s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-09 19:40:16,2018-11-09 19:40:57,41.077s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 70.0.3538.77,,2018-11-09 19:40:59,2018-11-09 19:41:18,19.078s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 19:40:59,2018-11-09 19:40:59,0.002s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-09 19:40:59,2018-11-09 19:41:02,2.116s,PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-11-09 19:41:02,2018-11-09 19:41:04,2.065s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 19:41:04,2018-11-09 19:41:11,7.288s,PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-11-09 19:41:11,2018-11-09 19:41:15,4.347s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-09 19:41:15,2018-11-09 19:41:16,1.154s,PASSED
