Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 70.0.3538.102,,2018-11-13 19:09:07,2018-11-13 19:10:23,1m - 15.706s,FAILED
,,,,,,
Test Cases/MPDX-login-localhost,Chrome 70.0.3538.102,,2018-11-13 19:09:08,2018-11-13 19:09:41,33.301s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-13 19:09:08,2018-11-13 19:09:13,5.219s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-13 19:09:13,2018-11-13 19:09:19,5.153s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:09:19,2018-11-13 19:09:24,5.294s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-13 19:09:24,2018-11-13 19:09:28,4.271s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-13 19:09:28,2018-11-13 19:09:31,3.231s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:09:31,2018-11-13 19:09:34,2.910s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:09:34,2018-11-13 19:09:39,4.529s,PASSED
,,,,,,
Test Cases/MPDX-dashboard,Chrome 70.0.3538.102,,2018-11-13 19:09:41,2018-11-13 19:10:09,28.244s,FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-13 19:09:41,2018-11-13 19:09:41,0.004s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.102,,2018-11-13 19:09:41,2018-11-13 19:09:41,0.002s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 19:09:41,2018-11-13 19:09:45,3.630s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:09:45,2018-11-13 19:09:47,2.095s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:09:47,2018-11-13 19:09:49,2.112s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:09:49,2018-11-13 19:09:51,2.112s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:09:51,2018-11-13 19:09:53,2.109s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:09:53,2018-11-13 19:09:55,2.082s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:09:55,2018-11-13 19:09:57,2.088s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:09:57,2018-11-13 19:09:59,2.117s,PASSED
switchToWindowTitle,Chrome 70.0.3538.102,,2018-11-13 19:09:59,2018-11-13 19:09:59,0.002s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 19:09:59,2018-11-13 19:09:59,0.002s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 19:09:59,2018-11-13 19:09:59,0.003s,NOT_RUN
switchToWindowTitle,Chrome 70.0.3538.102,,2018-11-13 19:09:59,2018-11-13 19:09:59,0.003s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 19:09:59,2018-11-13 19:10:02,2.104s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:10:02,2018-11-13 19:10:04,2.069s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:10:04,2018-11-13 19:10:07,3.417s,FAILED
,,,,,,
Test Cases/MPDX-logout,Chrome 70.0.3538.102,,2018-11-13 19:10:09,2018-11-13 19:10:23,13.789s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:10:09,2018-11-13 19:10:09,0.002s,NOT_RUN
click,Chrome 70.0.3538.102,,2018-11-13 19:10:09,2018-11-13 19:10:11,2.104s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-13 19:10:11,2018-11-13 19:10:13,2.070s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 19:10:13,2018-11-13 19:10:17,3.966s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-13 19:10:17,2018-11-13 19:10:19,2.100s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-13 19:10:19,2018-11-13 19:10:21,1.353s,PASSED
